Entry No_;G_L Account No_;Posting Date;Document Type;Amount;Global Dimension 1 Code;Source Code;System-Created Entry;Prior-Year Entry;Job No_;Quantity;VAT Amount;Business Unit Code;Reason Code;Gen_ Posting Type;Gen_ Bus_ Posting Group;Bal_ Account Type;Transaction No_;Debit Amount;Credit Amount;Document Date;Source Type;Tax Area Code;Tax Liable;Tax Group Code;Use Tax;VAT Bus_ Posting Group;VAT Prod_ Posting Group;Additional-Currency Amount;Add_-Currency Debit Amount;Add_-Currency Credit Amount;Close Income Statement Dim_ ID;IC Partner Code;Reversed;Reversed by Entry No_;Reversed Entry No_;Dimension Set ID;Prod_ Order No_;FA Entry Type;FA Entry No_;New G_L Account No_;Old G_L Account No_;Updated;Period Trans_ No_;Cost Entry No_;Description_
596;100000000;26/11/2019;0;-12020,24;;;0;0;;0;0;;;0;;0;5;0;12020,24;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
597;112000000;26/11/2019;0;-12192,2;;;0;0;;0;0;;;0;;0;5;0;12192,2;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
38323;112000000;30/06/2020;0;-2398,71;;Diario Car.;0;0;;0;0;;;0;;0;6592;0;2398,71;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
57275;112000000;30/06/2021;0;-1528,23;;Diario general 2;0;0;;0;0;;;0;;0;10013;0;1528,23;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
64226;112000000;30/06/2022;0;-1444,37;;Diario general 2;0;0;;0;0;;;0;;0;11240;0;1444,37;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
98085;112000000;30/06/2023;0;-2495,95;;Diario general 2;0;0;;0;0;;;0;;0;17335;0;2495,95;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
598;113000000;26/11/2019;0;-108918,88;;;0;0;;0;0;;;0;;0;5;0;108918,88;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
38324;113000000;30/06/2020;0;-21588,4;;Diario Car.;0;0;;0;0;;;0;;0;6592;0;21588,4;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
57276;113000000;30/06/2021;0;-13754,11;;Diario general 2;0;0;;0;0;;;0;;0;10013;0;13754,11;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
64227;113000000;30/06/2022;0;-12999,32;;Diario general 2;0;0;;0;0;;;0;;0;11240;0;12999,32;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
98086;113000000;30/06/2023;0;-22463,58;;Diario general 2;0;0;;0;0;;;0;;0;17335;0;22463,58;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
105611;113000000;31/12/2023;0;-5094,12;;Diario general 2;0;0;;0;0;;;0;;0;18786;0;5094,12;00:00,0;0;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
100105;113000000;31/12/2023;0;-223,96;;Diario general 2;0;0;;0;0;;;0;;2;17708;0;223,96;00:00,0;2;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
100107;113000000;31/12/2023;0;-301,6;;Diario general 2;0;0;;0;0;;;0;;2;17708;0;301,6;00:00,0;2;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
100109;113000000;31/12/2023;0;-66,99;;Diario general 2;0;0;;0;0;;;0;;2;17708;0;66,99;00:00,0;2;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
100111;113000000;31/12/2023;0;-175,39;;Diario general 2;0;0;;0;0;;;0;;2;17708;0;175,39;00:00,0;2;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
100115;113000000;31/12/2023;0;-4000;;Diario general 2;0;0;;0;0;;;0;;2;17708;0;4000;00:00,0;2;;0;;0;;;0;0;0;0;;0;0;0;0;;0;0;;;0;0;0;Descrip*******************
